member_id,member_name,representation,bill_code,bill_title,bill_status
334,"Francis ""Tol"" N. Tolentino",Senator Senate of the Philippines,SRN-198,RESOLUTION EXPRESSING THE PROFOUND SYMPATHY AND SINCERE CONDOLENCES OF THE SENATE OF THE PHILIPPINES ON THE DEATH OF QUEEN ELIZABETH II OF THE UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND,
334,"Francis ""Tol"" N. Tolentino",Senator Senate of the Philippines,SBN-1175,"AN ACT ENCOURAGING NEW LAWYER-SCHOLARS TO PROVIDE FREE LEGAL SERVICES TO OVERSEASE FILIPINO WORKERS UNDER THE DEPARTMENT OF MIGRANT WORKERS, AMENDING REPUBLIC ACT (R.A.) NO. 11641, OTHERWISE KNOWN AS THE ?DEPARTMENT OF MIGRANT WORKERS ACT,?
AND FOR OTHER PURPOSES",
334,"Francis ""Tol"" N. Tolentino",Senator Senate of the Philippines,SBN-1176,"AN ACT DECLARING THE PROVINCE OF LEYTE A TOURISM ZONE, AND APPROPRIATING FUNDS THEREFOR",
334,"Francis ""Tol"" N. Tolentino",Senator Senate of the Philippines,SBN-1177,"AN ACT INSTITUTIONALIZING THE GRANT OF EMERGENCY USE AUTHORIZATION, FURTHER AMENDING REPUBLIC ACT NO. 3720, OTHERWISE KNOWN AS THE ?FOOD, DRUG, AND COSMETIC ACT,? AS AMENDED BY REPUBLIC ACT NO. 9711, OTHERWISE KNOWN AS THE ?FOOD AND DRUG ADMINISTRATION (FDA) ACT OF 2009, AND FOR OTHER PURPOSES",
334,"Francis ""Tol"" N. Tolentino",Senator Senate of the Philippines,SBN-1178,"AN ACT REFORMING THE MANDATE OF THE MOVIE AND TELEVISION REVIEW AND CLASSIFICATION BOARD TO INCLUDE STREAMING SERVICES, AMENDING FOR THE PURPOSE PRESIDENTIAL DECREE NO. 1986, OTHERWISE KNOWN AS ?CREATING THE MOVIE AND TELEVISIONS REVIEW AND CLASSIFICATION BOARD,? AND FOR OTHER PURPOSES",
334,"Francis ""Tol"" N. Tolentino",Senator Senate of the Philippines,SBN-1194,"AN ACT PROVIDING FOR A COMPREHENSIVE NUCLEAR REGULATORY FRAMEWORK, CREATING FOR THE PURPOSE, THE PHILIPPINE NUCLEAR REGULATORY COMMISSION, AND APPROPRIATING FUNDS THEREFOR",
334,"Francis ""Tol"" N. Tolentino",Senator Senate of the Philippines,SBN-1275,AN ACT PROVIDING FOR WORK BENEFITS AND SOCIAL PROTECTION TO ALL DELIVERY PLATFORM RIDERS WORKING IN THE GIG ECONOMY,
334,"Francis ""Tol"" N. Tolentino",Senator Senate of the Philippines,SBN-1307,AN ACT CONFERRING THE CADETS OF THE PHILIPPINE NATIONAL POLICE ACADEMY THE STATUS OF A GOVERNMENT EMPLOYEES AND GRANTING THEM WITH CIVIL SERVICE ELIGIBILITY AND BENEFITS AND PRIVILEGES,
334,"Francis ""Tol"" N. Tolentino",Senator Senate of the Philippines,SBN-1308,AN ACT PROVIDING FOR THE INTERNATIONAL COMMERCIAL ARBITRATION ACT OF THE PHILIPPINES,
334,"Francis ""Tol"" N. Tolentino",Senator Senate of the Philippines,SBN-1388,AN ACT PROVIDING FOR RULES ON THE DUTY TO RENDER ASSISTANCE AT SEA IN ACCORDANCE WITH RELEVANT INTERNATIONAL CONVENTIONS TO WHICH THE PHILIPPINES IS A STATE PARTY AND FOR OTHER PURPOSES,
