member_id,member_name,representation,bill_code,bill_title,bill_status
311,Ysabel Maria J.  Zamora,"San Juan City - Lone District House of Representatives, Quezon City",HB04339,"AN ACT AMENDING SECTIONS 6, 22, 24, 25, 27, 28, 32, 34, 37, 38, 39, 42, 51, 52, 54, 56, 57, 73, 108, 109, 112, 121, 122, 123, 127, 149, 174, 176, 179, 181, 182, 183, 184, 185, 186, 187, 190, 195, 198, 199, 204, 222, 237, 237-A, 255, 256, 257, 258, 261, 263, 264, 266, 275; INSERTING NEW SECTION 270-A; AND REPEALING SECTIONS 175, 177, 178, 180, 188, 192, AND 193; ALL UNDER REPUBLIC ACT NO. 8424, OTHERWISE KNOWN AS THE NATIONAL INTERNAL REVENUE CODE OF 1997, AS AMENDED
(PACKAGE 4)","Approved by the House on 2022-11-14, transmitted to the Senate on 2022-11-15 and received by the Senate on 2022-11-15"
311,Ysabel Maria J.  Zamora,"San Juan City - Lone District House of Representatives, Quezon City",HB03884,"AN ACT

GRANTING PHILIPPINE CITIZENSHIP TO JUVENAL SANSO",Pending with the Committee on JUSTICE since 2022-08-30
311,Ysabel Maria J.  Zamora,"San Juan City - Lone District House of Representatives, Quezon City",HB06608,"AN ACT ESTABLISHING THE MAHARLIKA INVESTMENT FUND,
PROVIDING FOR THE MANAGEMENT, INVESTMENT, AND USE
OF THE PROCEEDS OF THE FUND, AND APPROPRIATING FUNDS THEREFOR","Approved by the House on 2022-12-15, transmitted to the Senate on 2022-12-19 and received by the Senate on 2022-12-19"
311,Ysabel Maria J.  Zamora,"San Juan City - Lone District House of Representatives, Quezon City",HB04426,"AN ACT
DECLARING AUGUST 30 OF EVERY YEAR A SPECIAL NONWORKING HOLIDAY IN THE CITY OF SAN JUAN,
METRO MANILA, TO BE KNOWN AS ""ARAW NG PINAGLABANAN""",Substituted by HB05844
311,Ysabel Maria J.  Zamora,"San Juan City - Lone District House of Representatives, Quezon City",HB06509,"AN ACT PROVIDING FREE LEGAL ASSISTANCE TO ANY OFFICER OR UNIFORMED
PERSONNEL OF THE ARMED FORCES OF THE PHILIPPINES, THE BUREAU
OF FIRE PROTECTION, THE BUREAU OF JAIL MANAGEMENT AND
PENOLOGY, THE PHILIPPINE COAST GUARD, AND THE PHILIPPINE
NATIONAL POLICE, FACING ANY CHARGE BEFORE THE PROSECUTORâ€™S
OFFICE, COURT OR ANY COMPETENT BODY ARISING FROM AN INCIDENT
RELATED TO THE PERFORMANCE OF OFFICIAL DUTY, AND
APPROPRIATING FUNDS THEREFOR","Approved by the House on 2022-12-12, transmitted to the Senate on 2022-12-14 and received by the Senate on 2022-12-14"
311,Ysabel Maria J.  Zamora,"San Juan City - Lone District House of Representatives, Quezon City",HB05615,"AN ACT INCREASING THE NUMBER OF COURTS IN SAN JUAN CITY, BY CONVERTING FOUR (4) BRANCHES OF THE REGIONAL TRIAL COURT OF PASIG CITY, WHICH ARE STATIONED IN SAN JUAN CITY, METRO MANILA, INTO THE REGIONAL TRIAL COURT OF SAN JUAN CITY, AND BY CREATING TWO (2) BRANCHES OF THE REGIONAL TRIAL COURT AND TWO (2) BRANCHES OF THE METROPOLITAN TRIAL COURT OF SAN JUAN CITY, AMENDING FOR THE PURPOSE SECTION 14, PARAGRAPH (D) AND SECTION 27 OF BATAS PAMBANSA BLG. 129, OTHERWISE KNOWN AS â€œTHE JUDICIARY REORGANIZATION ACT OF 1980â€, AS AMENDED, AND APPROPRIATING FUNDS THEREFOR",Pending with the Committee on JUSTICE since 2022-11-08
311,Ysabel Maria J.  Zamora,"San Juan City - Lone District House of Representatives, Quezon City",HB05844,"AN ACT DECLARING AUGUST 30 OF EVERY YEAR A SPECIAL NON-WORKING HOLIDAY
IN THE CITY OF SAN JUAN, TO BE KNOWN AS â€œARAW NG PINAGLABANANâ€, IN
COMMEMORATION OF THE BATTLE OF PINAGLABANAN, WHICH OCCURRED
ON AUGUST 30, 1896","Approved by the House on 2022-11-21, transmitted to the Senate on 2022-11-22 and received by the Senate on 2022-11-22"
311,Ysabel Maria J.  Zamora,"San Juan City - Lone District House of Representatives, Quezon City",HB06444,"AN ACT REGULATING THE USE OF TREATMENT TECHNOLOGY FOR MUNICIPAL
AND HAZARDOUS WASTES, REPEALING FOR THE PURPOSE SECTION 20 OF
REPUBLIC ACT NO. 8749, ENTITLED â€œTHE PHILIPPINE CLEAN AIR ACT OF
1999""","Approved by the House on 2022-12-12, transmitted to the Senate on 2022-12-14 and received by the Senate on 2022-12-14"
311,Ysabel Maria J.  Zamora,"San Juan City - Lone District House of Representatives, Quezon City",HB06224,AN ACT GRANTING PHILIPPINE CITIZENSHIP TO JUSTIN DONTA BROWNLEE,Republic Act RA11937 enacted on 2023-01-12
311,Ysabel Maria J.  Zamora,"San Juan City - Lone District House of Representatives, Quezon City",HB05844,"AN ACT DECLARING AUGUST 30 OF EVERY YEAR A SPECIAL NON-WORKING HOLIDAY
IN THE CITY OF SAN JUAN, TO BE KNOWN AS â€œARAW NG PINAGLABANANâ€, IN
COMMEMORATION OF THE BATTLE OF PINAGLABANAN, WHICH OCCURRED
ON AUGUST 30, 1896","Approved by the House on 2022-11-21, transmitted to the Senate on 2022-11-22 and received by the Senate on 2022-11-22"
311,Ysabel Maria J.  Zamora,"San Juan City - Lone District House of Representatives, Quezon City",HB03917,"AN ACT AMENDING SECTIONS 3 AND 4 OF REPUBLIC ACT NO. 10845, OTHERWISE KNOWN AS THE ANTI-AGRICULTURAL SMUGGLING ACT OF 2016 AND FOR OTHER PURPOSES","Approved by the House on 2022-12-12, transmitted to the Senate on 2022-12-14 and received by the Senate on 2022-12-14"
311,Ysabel Maria J.  Zamora,"San Juan City - Lone District House of Representatives, Quezon City",HB06509,"AN ACT PROVIDING FREE LEGAL ASSISTANCE TO ANY OFFICER OR UNIFORMED
PERSONNEL OF THE ARMED FORCES OF THE PHILIPPINES, THE BUREAU
OF FIRE PROTECTION, THE BUREAU OF JAIL MANAGEMENT AND
PENOLOGY, THE PHILIPPINE COAST GUARD, AND THE PHILIPPINE
NATIONAL POLICE, FACING ANY CHARGE BEFORE THE PROSECUTORâ€™S
OFFICE, COURT OR ANY COMPETENT BODY ARISING FROM AN INCIDENT
RELATED TO THE PERFORMANCE OF OFFICIAL DUTY, AND
APPROPRIATING FUNDS THEREFOR","Approved by the House on 2022-12-12, transmitted to the Senate on 2022-12-14 and received by the Senate on 2022-12-14"
311,Ysabel Maria J.  Zamora,"San Juan City - Lone District House of Representatives, Quezon City",HB06512,"AN ACT REQUIRING PERSONNEL OF THE BUREAU OF FIRE PROTECTION TO BE CERTIFIED MEDICAL FIRST RESPONDERS AND EMERGENCY MEDICAL TECHNICIANS,
AMENDING FOR THE PURPOSE SECTION 4 OF REPUBLIC ACT NO. 11589,
OTHERWISE KNOWN AS THE â€œBUREAU OF FIRE PROTECTION MODERNIZATION ACT""",Pending With Rules (Included in OB on 2022-12-06)
311,Ysabel Maria J.  Zamora,"San Juan City - Lone District House of Representatives, Quezon City",HB06608,"AN ACT ESTABLISHING THE MAHARLIKA INVESTMENT FUND,
PROVIDING FOR THE MANAGEMENT, INVESTMENT, AND USE
OF THE PROCEEDS OF THE FUND, AND APPROPRIATING FUNDS THEREFOR","Approved by the House on 2022-12-15, transmitted to the Senate on 2022-12-19 and received by the Senate on 2022-12-19"
311,Ysabel Maria J.  Zamora,"San Juan City - Lone District House of Representatives, Quezon City",HB03917,"AN ACT AMENDING SECTIONS 3 AND 4 OF REPUBLIC ACT NO. 10845, OTHERWISE KNOWN AS THE ANTI-AGRICULTURAL SMUGGLING ACT OF 2016 AND FOR OTHER PURPOSES","Approved by the House on 2022-12-12, transmitted to the Senate on 2022-12-14 and received by the Senate on 2022-12-14"
311,Ysabel Maria J.  Zamora,"San Juan City - Lone District House of Representatives, Quezon City",HB04339,"AN ACT AMENDING SECTIONS 6, 22, 24, 25, 27, 28, 32, 34, 37, 38, 39, 42, 51, 52, 54, 56, 57, 73, 108, 109, 112, 121, 122, 123, 127, 149, 174, 176, 179, 181, 182, 183, 184, 185, 186, 187, 190, 195, 198, 199, 204, 222, 237, 237-A, 255, 256, 257, 258, 261, 263, 264, 266, 275; INSERTING NEW SECTION 270-A; AND REPEALING SECTIONS 175, 177, 178, 180, 188, 192, AND 193; ALL UNDER REPUBLIC ACT NO. 8424, OTHERWISE KNOWN AS THE NATIONAL INTERNAL REVENUE CODE OF 1997, AS AMENDED
(PACKAGE 4)","Approved by the House on 2022-11-14, transmitted to the Senate on 2022-11-15 and received by the Senate on 2022-11-15"
